,0
0,Tomato___Early_blight
1,Tomato___Early_blight
2,Tomato___Early_blight
3,Tomato___Early_blight
4,Tomato___Early_blight
5,Tomato___Early_blight
6,Tomato___Early_blight
7,Tomato___Early_blight
8,Tomato___Early_blight
9,Tomato___Early_blight
10,Tomato___Early_blight
11,Tomato___Early_blight
12,Tomato___Early_blight
13,Tomato___Early_blight
14,Tomato___Early_blight
15,Tomato___Early_blight
16,Tomato___Early_blight
17,Tomato___Early_blight
18,Tomato___Early_blight
19,Tomato___Early_blight
20,Tomato___Early_blight
21,Tomato___Early_blight
22,Tomato___Early_blight
23,Tomato___Early_blight
24,Tomato___Early_blight
25,Tomato___Early_blight
26,Tomato___Early_blight
27,Tomato___Early_blight
28,Tomato___Early_blight
29,Tomato___Early_blight
30,Tomato___Early_blight
31,Tomato___Early_blight
32,Tomato___Early_blight
33,Tomato___Early_blight
34,Tomato___Early_blight
35,Tomato___Late_blight
36,Tomato___Late_blight
37,Tomato___Late_blight
38,Tomato___Late_blight
39,Tomato___Late_blight
40,Tomato___Late_blight
41,Tomato___Late_blight
42,Tomato___Late_blight
43,Tomato___Late_blight
44,Tomato___Late_blight
45,Tomato___Late_blight
46,Tomato___Late_blight
47,Tomato___Late_blight
48,Tomato___Late_blight
49,Tomato___Late_blight
50,Tomato___Late_blight
51,Tomato___Late_blight
52,Tomato___Late_blight
53,Tomato___Late_blight
54,Tomato___Late_blight
55,Tomato___Late_blight
56,Tomato___Late_blight
57,Tomato___Late_blight
58,Tomato___Late_blight
59,Tomato___Late_blight
60,Tomato___Late_blight
61,Tomato___Late_blight
62,Tomato___Late_blight
63,Tomato___Late_blight
64,Tomato___Late_blight
65,Tomato___Late_blight
66,Tomato___Late_blight
67,Tomato___Late_blight
68,Tomato___Late_blight
69,Tomato___Late_blight
70,Tomato___Tomato_Yellow_Leaf_Curl_Virus
71,Tomato___Tomato_Yellow_Leaf_Curl_Virus
72,Tomato___Tomato_Yellow_Leaf_Curl_Virus
73,Tomato___Tomato_Yellow_Leaf_Curl_Virus
74,Tomato___Tomato_Yellow_Leaf_Curl_Virus
75,Tomato___Tomato_Yellow_Leaf_Curl_Virus
76,Tomato___Tomato_Yellow_Leaf_Curl_Virus
77,Tomato___Tomato_Yellow_Leaf_Curl_Virus
78,Tomato___Tomato_Yellow_Leaf_Curl_Virus
79,Tomato___Tomato_Yellow_Leaf_Curl_Virus
80,Tomato___Tomato_Yellow_Leaf_Curl_Virus
81,Tomato___Tomato_Yellow_Leaf_Curl_Virus
82,Tomato___Tomato_Yellow_Leaf_Curl_Virus
83,Tomato___Tomato_Yellow_Leaf_Curl_Virus
84,Tomato___Tomato_Yellow_Leaf_Curl_Virus
85,Tomato___Tomato_Yellow_Leaf_Curl_Virus
86,Tomato___Tomato_Yellow_Leaf_Curl_Virus
87,Tomato___Tomato_Yellow_Leaf_Curl_Virus
88,Tomato___Tomato_Yellow_Leaf_Curl_Virus
89,Tomato___Tomato_Yellow_Leaf_Curl_Virus
90,Tomato___Tomato_Yellow_Leaf_Curl_Virus
91,Tomato___Tomato_Yellow_Leaf_Curl_Virus
92,Tomato___Tomato_Yellow_Leaf_Curl_Virus
93,Tomato___Tomato_Yellow_Leaf_Curl_Virus
94,Tomato___Tomato_Yellow_Leaf_Curl_Virus
95,Tomato___Tomato_Yellow_Leaf_Curl_Virus
96,Tomato___Tomato_Yellow_Leaf_Curl_Virus
97,Tomato___Tomato_Yellow_Leaf_Curl_Virus
98,Tomato___Tomato_Yellow_Leaf_Curl_Virus
99,Tomato___Tomato_Yellow_Leaf_Curl_Virus
100,Tomato___Tomato_Yellow_Leaf_Curl_Virus
101,Tomato___Tomato_Yellow_Leaf_Curl_Virus
102,Tomato___Tomato_Yellow_Leaf_Curl_Virus
103,Tomato___Tomato_Yellow_Leaf_Curl_Virus
104,Tomato___Tomato_Yellow_Leaf_Curl_Virus
